GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CryptoRecommendationsService,com.example.cryptorecommendationsservice.service,CryptoService,67,339,5,5,14,68,7,10,2,10
CryptoRecommendationsService,com.example.cryptorecommendationsservice.service,CsvImportService,77,135,3,7,19,31,4,9,1,7
CryptoRecommendationsService,com.example.cryptorecommendationsservice.model,Crypto,150,6,30,0,2,2,24,2,9,2
CryptoRecommendationsService,com.example.cryptorecommendationsservice.model,CryptoPrice,173,15,32,0,4,1,25,4,9,4
CryptoRecommendationsService,com.example.cryptorecommendationsservice,CryptoRecommendationsServiceApplication,5,3,0,0,2,1,1,1,1,1
CryptoRecommendationsService,com.example.cryptorecommendationsservice.filter,RateLimitingFilter,5,18,1,1,2,7,2,3,1,3
CryptoRecommendationsService,com.example.cryptorecommendationsservice.dto,CryptoStatsDTO,259,39,54,0,1,7,37,7,10,7
CryptoRecommendationsService,com.example.cryptorecommendationsservice.dto,CryptoStatsSimpleDTO,221,33,46,0,1,6,32,6,9,6
CryptoRecommendationsService,com.example.cryptorecommendationsservice.dto,CryptoNormalizedRange,107,15,22,0,1,3,17,3,6,3
CryptoRecommendationsService,com.example.cryptorecommendationsservice.config,RateLimitConfig,0,38,0,0,0,8,0,4,0,4
CryptoRecommendationsService,com.example.cryptorecommendationsservice.exception,ResourceNotFoundException,4,0,0,0,2,0,1,0,1,0
CryptoRecommendationsService,com.example.cryptorecommendationsservice.exception,GlobalExceptionHandler,14,3,0,0,2,1,2,1,2,1
CryptoRecommendationsService,com.example.cryptorecommendationsservice.controller,CryptoController,0,28,0,0,0,8,0,6,0,6
CryptoRecommendationsService,com.example.cryptorecommendationsservice.controller,CsvImportController,38,48,0,2,11,13,1,3,1,2
